"Nasdaq Traded","Security Name","Listing Exchange","Market Category","ETF","Round Lot Size","Test Issue","Financial Status","CQS Symbol","NASDAQ Symbol","NextShares"
"True","Code Chain New Continent Limited - Common Stock","Q","S","False","100.0","False","N","","CCNC","False"
"True","CNB Financial Corporation - Common Stock","Q","Q","False","100.0","False","N","","CCNE","False"
"True","CNB Financial Corporation - Depositary shares, each representing a 1/40th ownership interest in a share of 7.125% Series A Fixed- Rate Non-Cumulative Perpetual Preferred Stock","Q","Q","False","100.0","False","N","","CCNEP","False"
"True","Clear Channel Outdoor Holdings, Inc. Common Stock","N"," ","False","100.0","False","","CCO","CCO","False"
"True","Cogent Communications Holdings, Inc. - Common Stock","Q","Q","False","100.0","False","N","","CCOI","False"
"True","Direxion Connected Consumer ETF","P"," ","True","100.0","False","","CCON","CCON","False"
"True","Core Alternative ETF","P"," ","True","100.0","False","","CCOR","CCOR","False"
"True","CONSOL Coal Resources LP Common Units representing limited partner interests","N"," ","False","100.0","False","","CCR","CCR","False"
"True","China Customer Relations Centers, Inc. - Ordinary Shares","Q","S","False","100.0","False","N","","CCRC","False"
"True","Cross Country Healthcare, Inc. - Common Stock","Q","Q","False","100.0","False","N","","CCRN","False"
"True","iShares U.S. ETF Trust iShares Commodity Curve Carry Strategy ETF","P"," ","True","100.0","False","","CCRV","CCRV","False"
"True","Century Communities, Inc. Common Stock","N"," ","False","100.0","False","","CCS","CCS","False"
"True","Compania Cervecerias Unidas, S.A. Common Stock","N"," ","False","100.0","False","","CCU","CCU","False"
"True","Churchill Capital Corp II Class A Common Stock","N"," ","False","100.0","False","","CCX","CCX","False"
"True","Churchill Capital Corp II Units, each consisting of one share of Class A common stock, $0.0001 par value, and one-third of one redeemable warrant","N"," ","False","100.0","False","","CCX.U","CCX=","False"
"True","Churchill Capital Corp II Warrants, each exercisable for one share of Class A common stock at an exercise price of $11.50 per share","N"," ","False","100.0","False","","CCX.WS","CCX+","False"
"True","ChemoCentryx, Inc. - Common Stock","Q","Q","False","100.0","False","N","","CCXI","False"
"True","Comcast Holdings ZONES","N"," ","False","100.0","False","","CCZ","CCZ","False"
"True","Chindata Group Holdings Limited - American Depositary Shares","Q","Q","False","100.0","False","N","","CD","False"
"True","Codiak BioSciences, Inc. - Common Stock","Q","G","False","100.0","False","N","","CDAK","False"
"True","Ceridian HCM Holding Inc. Common Stock","N"," ","False","100.0","False","","CDAY","CDAY","False"
"True","VictoryShares US EQ Income Enhanced Volatility Wtd ETF","Q","G","True","100.0","False","N","","CDC","False"
"True","Coeur Mining, Inc. Common Stock","N"," ","False","100.0","False","","CDE","CDE","False"
"True","Centennial Resource Development, Inc. - Class A Common Stock","Q","S","False","100.0","False","D","","CDEV","False"
"True","CDK Global, Inc. - Common Stock","Q","Q","False","100.0","False","N","","CDK","False"
"True","VictoryShares US Large Cap High Div Volatility Wtd ETF","Q","G","True","100.0","False","N","","CDL","False"
"True","Cardlytics, Inc. - Common Stock","Q","G","False","100.0","False","N","","CDLX","False"
"True","Avid Bioservices, Inc. - Common Stock","Q","S","False","100.0","False","N","","CDMO","False"
"True","Avid Bioservices, Inc. - 10.50% Series E Convertible Preferred Stock","Q","S","False","100.0","False","N","","CDMOP","False"
"True","CareDx, Inc. - Common Stock","Q","G","False","100.0","False","N","","CDNA","False"
"True","Cadence Design Systems, Inc. - Common Stock","Q","Q","False","100.0","False","N","","CDNS","False"
"True","Condor Hospitality Trust, Inc. Common Stock","A"," ","False","100.0","False","","CDOR","CDOR","False"
"True","Cedar Realty Trust, Inc. Common Stock","N"," ","False","100.0","False","","CDR","CDR","False"
"True","Cedar Realty Trust, Inc. 7.25% Series B Cumulative Redeemable Preferred Stock","N"," ","False","100.0","False","","CDRpB","CDR-B","False"
"True","Cedar Realty Trust, Inc. 6.50% Series C Cumulative Redeemable Preferred Stock","N"," ","False","100.0","False","","CDRpC","CDR-C","False"
"True","Cidara Therapeutics, Inc. - Common Stock","Q","G","False","100.0","False","N","","CDTX","False"
"True","CDW Corporation - Common Stock","Q","Q","False","100.0","False","N","","CDW","False"
"True","ChromaDex Corporation - Common Stock","Q","S","False","100.0","False","N","","CDXC","False"
"True","Codexis, Inc. - Common Stock","Q","Q","False","100.0","False","N","","CDXS","False"
"True","Cadiz, Inc. - Common Stock","Q","G","False","100.0","False","N","","CDZI","False"
"True","Celanese Corporation Celanese Corporation Common Stock","N"," ","False","100.0","False","","CE","CE","False"
"True","China Eastern Airlines Corporation Ltd. Common Stock","N"," ","False","100.0","False","","CEA","CEA","False"
"True","CECO Environmental Corp. - Common Stock","Q","Q","False","100.0","False","N","","CECE","False"
"True","The Central and Eastern Europe Fund, Inc. (The) Common Stock","N"," ","False","100.0","False","","CEE","CEE","False"
"True","Sprott Physical Gold and Silver Trust Units","P"," ","True","100.0","False","","CEF","CEF","False"
"True","Global X S&P Catholic Values Developed ex-U.S. ETF","Q","G","True","100.0","False","N","","CEFA","False"
"True","ETRACS Monthly Pay 1.5X Leveraged Closed-End Fund Index ETN","P"," ","True","100.0","False","","CEFD","CEFD","False"
"True","Exchange Listed Funds Trust ETF","Z"," ","True","100.0","False","","CEFS","CEFS","False"
"True","Camber Energy, Inc. Common Stock","A"," ","False","100.0","False","","CEI","CEI","False"
"True","CONSOL Energy Inc. Common Stock ","N"," ","False","100.0","False","","CEIX","CEIX","False"
"True","Cellcom Israel, Ltd. Ordinary Shares","N"," ","False","100.0","False","","CEL","CEL","False"
"True","Celcuity Inc. - Common Stock","Q","S","False","100.0","False","N","","CELC","False"
"True","Bristol-Myers Squibb Company Celegne Contingent Value Rights","N"," ","False","100.0","False","","CELGr","CELG^","False"
"True","Celsius Holdings, Inc. - Common Stock","Q","S","False","100.0","False","N","","CELH","False"
"True","Cypress Environmental Partners, L.P. Common Units representing limited partner interests","N"," ","False","100.0","False","","CELP","CELP","False"
"True","ClearBridge MLP and Midstream Fund Inc. Common Stock","N"," ","False","100.0","False","","CEM","CEM","False"
"True","iShares J.P. Morgan EM Corporate Bond ETF","Z"," ","True","100.0","False","","CEMB","CEMB","False"
"True","Chembio Diagnostics, Inc. - Common Stock","Q","S","False","100.0","False","N","","CEMI","False"
"True","Center Coast Brookfield MLP & Energy Infrastructure Fund","N"," ","False","100.0","False","","CEN","CEN","False"
"True","Central Garden & Pet Company - Common Stock","Q","Q","False","100.0","False","N","","CENT","False"
"True","Central Garden & Pet Company - Class A Common Stock Nonvoting","Q","Q","False","100.0","False","N","","CENTA","False"
"True","Century Aluminum Company - Common Stock","Q","Q","False","100.0","False","N","","CENX","False"
"True","CNOOC Limited Common Stock","N"," ","False","100.0","False","","CEO","CEO","False"
"True","Central Puerto S.A. American Depositary Shares (each represents ten Common Shares)","N"," ","False","100.0","False","","CEPU","CEPU","False"
"True","Crestwood Equity Partners LP","N"," ","False","100.0","False","","CEQP","CEQP","False"
"True","Crestwood Equity Partners LP Preferred Units representing limited partner interests","N"," ","False","100.0","False","","CEQPp","CEQP-","False"
"True","Cerecor Inc. - Common Stock","Q","S","False","100.0","False","N","","CERC","False"
"True","Cerevel Therapeutics Holdings, Inc. - Common Stock","Q","S","False","100.0","False","N","","CERE","False"
"True","Cerevel Therapeutics Holdings, Inc. - Warrant","Q","S","False","100.0","False","N","","CEREW","False"
"True","Cerner Corporation - Common Stock","Q","Q","False","100.0","False","N","","CERN","False"
"True","Cerus Corporation - Common Stock","Q","G","False","100.0","False","N","","CERS","False"
"True","Central Securities Corporation Common Stock","A"," ","False","100.0","False","","CET","CET","False"
"True","Cemtrex Inc. - Common Stock","Q","S","False","100.0","False","N","","CETX","False"
"True","Cemtrex Inc. - Series 1 Preferred Stock","Q","S","False","100.0","False","N","","CETXP","False"
"True","Cemtrex Inc. - Series 1 Warrant","Q","S","False","100.0","False","N","","CETXW","False"
"True","Eaton Vance California Municipal Income Trust Shares of Beneficial Interest","A"," ","False","100.0","False","","CEV","CEV","False"
"True","CEVA, Inc. - Common Stock","Q","Q","False","100.0","False","N","","CEVA","False"
"True","WisdomTree Emerging Currency Strategy Fund","P"," ","True","100.0","False","","CEW","CEW","False"
"True","VictoryShares Emerging Market High Div Volatility Wtd ETF","Q","G","True","100.0","False","N","","CEY","False"
"True","VictoryShares Emerging Market Volatility Wtd ETF","Q","G","True","100.0","False","N","","CEZ","False"
"True","CF Industries Holdings, Inc. Common Stock","N"," ","False","100.0","False","","CF","CF","False"
"True","VictoryShares US 500 Volatility Wtd ETF","Q","G","True","100.0","False","N","","CFA","False"
"True","CF Finance Acquisition Corp. III - Unit","Q","S","False","100.0","False","N","","CFACU","False"
"True","CrossFirst Bankshares, Inc. - Common Stock","Q","Q","False","100.0","False","N","","CFB","False"
"True","Community First Bancshares, Inc. - Common Stock","Q","S","False","100.0","False","N","","CFBI","False"
"True","CF Bankshares Inc. - Common Stock","Q","S","False","100.0","False","N","","CFBK","False"
"True","ClearBridge Focus Value ETF","Z"," ","True","100.0","False","","CFCV","CFCV","False"
"True","CF Finance Acquisition Corp. - Class A Common Stock","Q","S","False","100.0","False","D","","CFFA","False"
"True","CF Finance Acquisition Corp. - Unit","Q","S","False","100.0","False","D","","CFFAU","False"
"True","CF Finance Acquisition Corp. - Warrant","Q","S","False","100.0","False","D","","CFFAW","False"
"True","C&F Financial Corporation - Common Stock","Q","Q","False","100.0","False","N","","CFFI","False"
"True","Capitol Federal Financial, Inc. - Common Stock","Q","Q","False","100.0","False","N","","CFFN","False"
"True","Citizens Financial Group, Inc. Common Stock","N"," ","False","100.0","False","","CFG","CFG","False"
"True","Citizens Financial Group, Inc. Depositary Shares, each representing a 1/40th Interest in a Share of 6.350% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock, Series D","N"," ","False","100.0","False","","CFGpD","CFG-D","False"
"True","Citizens Financial Group, Inc. Depositary Shares Each Representing 1/40th Interest in a Share of 5.000% Fixed-Rate Non-Cumulative Perpetual Preferred Stock, Series E","N"," ","False","100.0","False","","CFGpE","CFG-E","False"
"True","CF Finance Acquisition Corp. II - Class A Common Stock","Q","S","False","100.0","False","N","","CFII","False"
"True","CF Finance Acquisition Corp. II - Unit","Q","S","False","100.0","False","N","","CFIIU","False"
"True","CF Finance Acquisition Corp. II - Warrant","Q","S","False","100.0","False","N","","CFIIW","False"
"True","Conformis, Inc. - Common Stock","Q","Q","False","100.0","False","D","","CFMS","False"
"True","VictoryShares US 500 Enhanced Volatility Wtd ETF","Q","G","True","100.0","False","N","","CFO","False"
"True","Cullen/Frost Bankers, Inc. Common Stock","N"," ","False","100.0","False","","CFR","CFR","False"
"True","ContraFect Corporation - Common Stock","Q","S","False","100.0","False","N","","CFRX","False"
"True","Colfax Corporation Common Stock","N"," ","False","100.0","False","","CFX","CFX","False"
"True","Colfax Corporation 5.75% Tangible Equity Units","N"," ","False","100.0","False","","CFXA","CFXA","False"
"True","The Carlyle Group Inc. - Common Stock","Q","Q","False","100.0","False","N","","CG","False"
"True","China Green Agriculture, Inc. Common Stock","N"," ","False","100.0","False","","CGA","CGA","False"
"True","TCG BDC, Inc. - Common Stock","Q","Q","False","100.0","False","N","","CGBD","False"
"True","Canopy Growth Corporation Common Stock","N"," ","False","100.0","False","","CGC","CGC","False"
"True","Compugen Ltd. - Ordinary Shares","Q","G","False","100.0","False","N","","CGEN","False"
"True","Cancer Genetics, Inc. - Common Stock","Q","S","False","100.0","False","N","","CGIX","False"
"True","Cognex Corporation - Common Stock","Q","Q","False","100.0","False","N","","CGNX","False"
"True","Calamos Global Total Return Fund - Common Stock","Q","Q","False","100.0","False","N","","CGO","False"
"True","Collective Growth Corporation - Class A Common Stock","Q","S","False","100.0","False","N","","CGRO","False"
"True","Collective Growth Corporation - Unit","Q","S","False","100.0","False","N","","CGROU","False"
"True","Collective Growth Corporation - Warrant","Q","S","False","100.0","False","N","","CGROW","False"
"True","Invesco S&P Global Water Index ETF","P"," ","True","100.0","False","","CGW","CGW","False"
"True","China Telecom Corp Ltd ADS","N"," ","False","100.0","False","","CHA","CHA","False"
"True","Direxion Daily CSI 300 China A Shares Bear 1X Shares","P"," ","True","100.0","False","","CHAD","CHAD","False"
"True","Chardan Healthcare Acquisition 2 Corp. Common Stock","A"," ","False","100.0","False","","CHAQ","CHAQ","False"
"True","Chardan Healthcare Acquisition 2 Corp. Units, each consisting of one share of Common Stock, and one Warrant entitling the holder to purchase one-half of a share of Common Stock","A"," ","False","100.0","False","","CHAQ.U","CHAQ=","False"
"True","Chardan Healthcare Acquisition 2 Corp. Warrants, entitling the holder thereof to purchase one-half (1/2) of a share of common stock at a price of $11.50 per whole share","A"," ","False","100.0","False","","CHAQ.WS","CHAQ+","False"
"True","Direxion Daily CSI 300 China A Share Bull 2X Shares","P"," ","True","100.0","False","","CHAU","CHAU","False"
"True","Global X China Biotech Innovation ETF","Q","G","True","100.0","False","N","","CHB","False"
"True","Comstock Holding Companies, Inc. - Class A Common Stock","Q","S","False","100.0","False","N","","CHCI","False"
"True","City Holding Company - Common Stock","Q","Q","False","100.0","False","N","","CHCO","False"
"True","Community Healthcare Trust Incorporated Common Stock","N"," ","False","100.0","False","","CHCT","CHCT","False"
"True","Church & Dwight Company, Inc. Common Stock","N"," ","False","100.0","False","","CHD","CHD","False"
"True","Churchill Downs, Incorporated - Common Stock","Q","Q","False","100.0","False","N","","CHDN","False"
"True","Chemed Corp","N"," ","False","100.0","False","","CHE","CHE","False"
"True","The Chefs' Warehouse, Inc. - Common Stock","Q","Q","False","100.0","False","N","","CHEF","False"
"True","Check-Cap Ltd. - Ordinary Share","Q","S","False","100.0","False","D","","CHEK","False"
"True","Check-Cap Ltd. - Series C Warrant","Q","S","False","100.0","False","N","","CHEKZ","False"
"True","AGFiQ U.S. Market Neutral Value Fund","P"," ","True","100.0","False","","CHEP","CHEP","False"
"True","CHF Solutions, Inc. - Common Stock","Q","S","False","100.0","False","N","","CHFS","False"
"True","Chegg, Inc. Common Stock","N"," ","False","100.0","False","","CHGG","CHGG","False"
"True","Change Finance U.S. Large Cap Fossil Fuel Free ETF","P"," ","True","100.0","False","","CHGX","CHGX","False"
"True","Choice Hotels International, Inc. Common Stock","N"," ","False","100.0","False","","CHH","CHH","False"
"True","Calamos Convertible Opportunities and Income Fund - Common Stock","Q","Q","False","100.0","False","N","","CHI","False"
"True","Global X Funds Global X MSCI China Communication Services ETF","P"," ","True","100.0","False","","CHIC","CHIC","False"
"True","Global X MSCI China Energy ETF","P"," ","True","100.0","False","","CHIE","CHIE","False"
"True","Global X Funds Global X MSCI China Health Care ETF","P"," ","True","100.0","False","","CHIH","CHIH","False"
"True","Global X MSCI China Industrials ETF","P"," ","True","100.0","False","","CHII","CHII","False"
"True","Global X Funds Global X MSCI China Information Technology ETF","P"," ","True","100.0","False","","CHIK","CHIK","False"
"True","Global X Funds Global X MSCI China Large-Cap 50 ETF","P"," ","True","100.0","False","","CHIL","CHIL","False"
"True","Global X MSCI China Materials ETF","P"," ","True","100.0","False","","CHIM","CHIM","False"
"True","Global X MSCI China Consumer Discretionary ETF","P"," ","True","100.0","False","","CHIQ","CHIQ","False"
"True","Global X Funds Global X MSCI China Real Estate ETF","P"," ","True","100.0","False","","CHIR","CHIR","False"
"True","Global X Funds Global X MSCI China Consumer Staples ETF","P"," ","True","100.0","False","","CHIS","CHIS","False"
"True","Global X Funds Global X MSCI China Utilities ETF","P"," ","True","100.0","False","","CHIU","CHIU","False"
"True","Global X MSCI China Financials ETF","P"," ","True","100.0","False","","CHIX","CHIX","False"
"True","Check Point Software Technologies Ltd. - Ordinary Shares","Q","Q","False","100.0","False","N","","CHKP","False"
"True","China Mobile Limited Common Stock","N"," ","False","100.0","False","","CHL","CHL","False"
"True","Chiasma, Inc. - Common Stock","Q","Q","False","100.0","False","N","","CHMA","False"
"True","Chemung Financial Corp - Common Stock","Q","Q","False","100.0","False","N","","CHMG","False"
"True","Cherry Hill Mortgage Investment Corporation Common Stock","N"," ","False","100.0","False","","CHMI","CHMI","False"
