Date,3382.T,4063.T,7974.T,4502.T,4503.T,6752.T,7201.T,2914.T,9503.T,7751.T,6758.T,8604.T,9501.T,5401.T,7203.T,7267.T,8802.T,6502.T,9021.T,8031.T,8058.T,8306.T,8316.T,8411.T,8766.T,6301.T,9432.T,9433.T,9437.T,9984.T
2007-09-30,2964.4444444444443,7878.333333333333,55300.0,7896.111111111111,1064.2222222222222,617.5,1116.8333333333333,3079.722222222222,2653.3333333333335,3184.0,5477.777777777777,1875.111111111111,2948.0555555555557,7982.777777777777,6592.777777777777,3801.1111111111113,2970.8333333333335,2952.0,3158.0,2511.1111111111113,3352.222222222222,1038.3333333333333,8395.555555555555,6566.666666666667,1930.2,3526.6666666666665,1310.8333333333333,1420.647210015191,1693.3333333333333,1030.9166666666667
2007-10-31,2935.4545454545455,7952.272727272727,66922.72727272728,8025.909090909091,1055.8181818181818,617.5,1173.2272727272727,3299.7727272727275,2579.090909090909,3184.0,5560.454545454545,2009.4545454545455,2848.6363636363635,8139.090909090909,6480.0,3950.0,3312.7272727272725,2952.0,3158.0,2905.909090909091,3620.909090909091,1099.4545454545455,8972.727272727272,6506.363636363636,1930.2,3880.909090909091,1335.340909090909,1464.469082919034,1601.3636363636363,1256.4772727272727
2007-11-30,2829.7619047619046,6696.666666666667,63709.52380952381,6920.952380952381,984.0,617.5,1207.4285714285713,3259.7619047619046,2705.4761904761904,3184.0,5522.857142857143,1906.2857142857142,2885.714285714286,6672.380952380952,6187.619047619048,3868.5714285714284,2993.809523809524,2952.0,3158.0,2557.1428571428573,3192.6190476190477,985.6666666666666,8266.190476190477,5585.238095238095,1930.2,3360.4761904761904,1259.404761904762,1310.8723725818452,1707.142857142857,1264.642857142857
2007-12-31,3055.8333333333335,6789.444444444444,65911.11111111111,6692.222222222223,983.7777777777778,617.5,1217.3333333333333,3364.722222222222,2788.6111111111113,3184.0,6125.0,1947.2777777777778,3034.722222222222,6535.0,6153.888888888889,3770.0,2771.3888888888887,2952.0,3158.0,2364.1666666666665,3112.222222222222,1119.3333333333333,8938.888888888889,5830.555555555556,1930.2,3086.6666666666665,1341.6666666666667,1310.8333333333333,1816.6666666666667,1227.0833333333333
2008-01-31,2814.722222222222,5984.444444444444,54586.11111111111,6415.555555555556,917.4444444444445,617.5,1024.0,3055.0,2585.8333333333335,3184.0,5490.0,1593.6666666666667,2763.3333333333335,6485.555555555556,5472.222222222223,3253.6111111111113,2471.3888888888887,2952.0,3158.0,2061.1111111111113,2688.0555555555557,985.8888888888889,8076.666666666667,4888.333333333333,1930.2,2542.222222222222,1268.3333333333333,1267.870557996962,1712.2222222222222,1009.9444444444445
2008-02-29,2674.0,5568.5,51630.0,6074.0,927.1,617.5,966.5,2855.25,2639.5,3184.0,4914.0,1640.6,2746.25,5798.5,5961.5,3301.0,2633.5,2952.0,3158.0,2256.75,3139.5,964.5,7911.0,4509.0,1930.2,2634.0,1225.125,1143.9170013427733,1632.0,1081.225
2008-03-31,2360.25,5160.5,52017.5,5230.5,813.4,617.5,870.65,2638.5,2508.5,3184.0,4341.5,1544.1,2633.75,4898.0,5241.5,2952.25,2361.75,2952.0,3158.0,2154.75,3043.25,871.8,6958.0,3947.5,1930.2,2620.0,1099.875,1020.4994964599609,1543.0,935.2
2008-04-30,2887.6190476190477,5979.523809523809,55571.42857142857,5399.047619047619,826.4761904761905,617.5,862.2857142857143,2557.3809523809523,2570.714285714286,3184.0,4368.0952380952385,1627.4285714285713,2714.5238095238096,5364.761904761905,5069.047619047619,3054.7619047619046,2817.3809523809523,2952.0,3158.0,2382.1428571428573,3393.809523809524,994.4761904761905,7650.952380952381,4383.333333333333,1930.2,2836.190476190476,1130.4761904761904,1101.269519624256,1553.8095238095239,987.6904761904761
2008-05-31,3124.75,6384.5,58570.0,5813.0,859.9,617.5,938.05,2586.5,2389.75,3184.0,4966.5,1780.6,2579.75,6438.5,5288.5,3345.5,2825.25,2952.0,3158.0,2566.25,3631.5,1060.65,8585.5,5303.5,1930.2,3241.0,1196.125,1144.4989868164062,1586.5,981.475
2008-06-30,3190.0,6635.238095238095,58642.857142857145,5759.047619047619,890.0,617.5,936.0952380952381,2346.6666666666665,2311.904761904762,3184.0,5207.142857142857,1739.0,2592.6190476190477,6235.238095238095,5413.333333333333,3736.190476190476,2615.714285714286,2952.0,3158.0,2443.809523809524,3535.714285714286,1048.0,8936.190476190477,5517.142857142857,1930.2,3176.6666666666665,1267.7380952380952,1134.682861328125,1573.3333333333333,933.6428571428571
